symbol,trade_date,prev_close,open_price,high_price,low_price,last_price,close_price,avg_price,volume,no_of_trades
WIPRO,2025-06-17,262.89,262.89,265.45,261.66,262.9,262.91,263.73,7528454,89577
WIPRO,2025-06-16,260.21,260,265.31,258,262.8,262.89,261.48,10935361,91234
WIPRO,2025-06-13,259.61,255,262.25,254,260.59,260.21,259.7,8692116,95629
WIPRO,2025-06-12,258.92,260,263,256.32,259.06,259.61,260.27,14528657,125900
WIPRO,2025-06-11,254.87,256.02,261.6,254.1,259,258.92,258.25,17268454,125033
WIPRO,2025-06-10,251.29,252.9,255.8,251.83,254.69,254.87,254.42,10739851,119143
WIPRO,2025-06-09,248.59,249.6,253.4,249.22,251.72,251.29,250.95,9193904,101064
WIPRO,2025-06-06,247.94,247.1,249.98,247.1,248.5,248.59,248.5,4445411,65205
WIPRO,2025-06-05,246.86,246.9,249.49,246.88,248.2,247.94,247.93,6468060,68321
WIPRO,2025-06-04,246.22,246.51,249.81,246.51,247.05,246.86,247.41,6698150,94039
WIPRO,2025-06-03,247.68,248,249.5,245.73,246.47,246.22,246.59,8573438,132360
WIPRO,2025-06-02,249.67,247.6,248.42,246.2,247.58,247.68,247.48,5846259,90742
WIPRO,2025-05-30,250.14,250,251.11,248.52,249.6,249.67,249.74,13858429,79659
WIPRO,2025-05-29,247.43,249.65,251.74,248.1,250.52,250.14,249.97,11785042,113827
WIPRO,2025-05-28,248.25,249.59,250.14,246.96,247.5,247.43,247.9,6205160,57452
WIPRO,2025-05-27,250.24,250.99,250.99,247.99,248.35,248.25,248.75,6861143,69257
WIPRO,2025-05-26,247.36,248.49,250.85,248.2,250.25,250.24,249.71,3690751,47579
WIPRO,2025-05-23,245.94,246.1,250.49,245.6,247.8,247.36,248.47,7437642,62388
WIPRO,2025-05-22,250.92,249,249.89,245,246.05,245.94,246.57,11469037,134939
WIPRO,2025-05-21,249.71,249.71,252.11,248.1,250.78,250.92,250.77,5313593,84857
WIPRO,2025-05-20,251.75,253,254.6,249.31,250.2,249.71,251.24,9366429,74602
WIPRO,2025-05-19,254.31,254.31,254.74,251.28,251.55,251.75,252.64,6788784,84813
WIPRO,2025-05-16,256.57,257,257,253.53,254.45,254.31,254.65,6640387,66512
WIPRO,2025-05-15,252.94,253.2,257.1,250.62,256.1,256.57,254.19,12083645,117124
WIPRO,2025-05-14,251.57,251.57,253.69,250.75,253.2,252.94,252.34,8839105,88004
WIPRO,2025-05-13,257.28,256.95,256.95,250.62,251.8,251.57,252.86,11714159,100429
WIPRO,2025-05-12,242.01,245.09,257.94,244.88,256.5,257.28,252.78,19791711,136844
WIPRO,2025-05-09,241.57,236.6,242.95,236.5,241.71,242.01,240.7,10582438,97358
WIPRO,2025-05-08,244.04,243.11,245.83,239.31,240.5,241.57,242.35,11434833,108236
WIPRO,2025-05-07,241.19,236.01,244.45,236.01,244,244.04,242.3,9130056,88615
WIPRO,2025-05-06,243.57,244.5,245.9,240.61,240.7,241.19,243.01,8869045,70760
WIPRO,2025-05-05,242.87,244,246.87,242.7,243.2,243.57,244.4,12170446,111265
WIPRO,2025-05-02,241.5,242.04,245.8,240.75,242.5,242.87,243.16,14411726,104403
WIPRO,2025-04-30,241.4,241.55,243.4,239.2,240.8,241.5,241.15,14206640,93233
WIPRO,2025-04-29,240.5,241.6,243.6,239.85,241.75,241.4,241.71,16647246,107681
WIPRO,2025-04-28,240.9,240.5,241.95,238.75,240.7,240.5,240.47,14218414,85423
WIPRO,2025-04-25,242.75,243.95,246.15,238.05,240.5,240.9,241.42,16620430,111293
WIPRO,2025-04-24,243.6,244.8,245.15,241.5,242.7,242.75,243.06,23000820,128941
WIPRO,2025-04-23,234.15,237.2,245.35,236.1,243.2,243.6,241.27,31898042,193934
WIPRO,2025-04-22,238.45,238.45,239,233.5,234,234.15,235.75,18367713,140022
WIPRO,2025-04-21,236.9,237.4,240.8,237.4,238.3,238.45,239.13,16298364,130844
WIPRO,2025-04-17,247.65,235,237.8,232.15,237.4,236.9,235,54875421,383213
WIPRO,2025-04-16,244,244,248.45,241.2,247.6,247.65,245.26,16203319,130894
WIPRO,2025-04-15,239.75,245.05,245.05,241.35,244.4,244,243.17,10694621,92233
WIPRO,2025-04-11,236.65,245,245,238.35,240.4,239.75,240.83,11205821,112385
WIPRO,2025-04-09,247.25,240.7,242.3,234,236.8,236.65,236.45,19063559,177126
WIPRO,2025-04-08,242.9,244.75,249.5,243.85,247.2,247.25,246.66,13806651,97863
WIPRO,2025-04-07,246.3,231.05,243.85,228,243.15,242.9,236.82,13011904,197179
WIPRO,2025-04-04,256.35,253,253.95,244.85,246.95,246.3,247.56,14639785,131920
WIPRO,2025-04-03,263.6,259.9,260.5,255.3,256.65,256.35,257.42,12262561,126957
WIPRO,2025-04-02,262.6,262.8,265.55,261.1,263.5,263.6,263.37,7136992,65188
WIPRO,2025-04-01,262.25,260.35,263,258.5,262.25,262.6,261.23,8388635,89708
